#;Release;Date exact;Release source;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL;Row ID;Coverage version;Coverage denominator;Row count delta;Dropped language relationships;Legacy scalar dates overwritten;Unsourced presented as reviewed exact;Migration disposition;Terminal state;Date provenance disposition;Release event IDs;Supported date languages;Needs-evidence date languages;Legacy row SHA-256;Reconciliation warning
182;~2025;approx;;Hop's Snorlax;xJTG;117;—;V3;"""EBGames"" stamp (gift with purchase, Australia/New Zealand)";Journey Together: Additionals;Promo;GOSSAN;holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together-Additionals/Hops-Snorlax-V3-xJTG117;xjtg-117-v3-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English;sha256:e1ae9f35456f9f0473bf2ba6f86cb06807d40fe144351bfeb85865eeec256064;Legacy scalar has no row-level source and is not a reviewed release event.
183;2025-06-13;yes;https://bulbapedia.bulbagarden.net/wiki/Journey_Theme_Pack_%28ATCG%29;Snorlax;CSVL1C;109;—;base;;Adventure Special Pack;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Adventure-Special-Pack/Snorlax-CSVL1C109;csvl1c-109-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:3fa86dbc24052280;S-Chinese;;sha256:ef96105617985a117e708db21db6fb26a52099a26cf3d0780365ca811576e974;
184;2025-07-18;yes;;Snorlax;CSVE2C;122;—;base;;Battle Party Shining Dream;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Party-Shining-Dream/Snorlax-CSVE2C122;csve2c-122-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;S-Chinese;sha256:b5e447caed6b291d9470c2fa40837fd5276156893318c6df63a7bc6734301848;Legacy scalar has no row-level source and is not a reviewed release event.
185;2025-07-25;yes;;Snorlax;SV-P/ID;278;—;base;;Scarlet & Violet Indonesian Promos;Promo;;;pending;1;;;;;;;;;;;;;;X;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Indonesian-Promos/Snorlax-SV-PID278;svpid-278-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Indonesian;sha256:dc040f33520637e5814ee3355e339db74d4b2c35a6502e8b7a28905d6e7cb454;Legacy scalar has no row-level source and is not a reviewed release event.
186;2025-08-14;yes;;Hop's Snorlax;PPS7 JTG;JTG 117;—;base;;Play! Pokémon Prize Pack Series Seven;Prize Pack Series;GOSSAN;non-holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Seven/Hops-Snorlax-PPS7JTG-117;pps7jtg-jtg117-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese;sha256:71c3015e31add7e2d626bfc11e56e8585f386fc86d1c68fbd6a2362562b7a77e;Legacy scalar has no row-level source and is not a reviewed release event.
187;2025-09-12;yes;https://bulbapedia.bulbagarden.net/wiki/Ardent_Obsidian_%28ATCG%29;Snorlax Doll;CSV5C;115;—;base;;Dark Crystal Blaze;Uncommon;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dark-Crystal-Blaze/Snorlax-Doll-CSV5C115;csv5c-115-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:baf7c012ecad08c6;S-Chinese;;sha256:a7b3a35cfeeaad3f2b3c5a2ad06bbc69efa09b5fde479de1c19efeca7cbe1b1f;
188;2025-11-28;yes;;Hop's Snorlax;m2a;136;—;base;;MEGA Dream ex;Fixed;;non-holo, reverse-holo;confirmed, pending;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex/Hops-Snorlax-m2a136;m2a-136-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Japanese, Korean, T-Chinese, Indonesian, Thai;sha256:5e4a703963d24f32ce5062dccc27dafc0181996d246302eb94e5e5675ef81984;Legacy scalar has no row-level source and is not a reviewed release event.
189;2025-11-28;yes;;Hop's Snorlax;xm2a;136;—;V1;mirror holo, colourless-energy star pattern;MEGA Dream ex: Additionals;Fixed;;mirror-holo;confirmed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V1-xm2a136;xm2a-136-v1-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Japanese, Korean, T-Chinese, Indonesian, Thai;sha256:bacd51581cae234da7bb97de2c044dbfa6d25cf807fca5a1ed8b009d084c3d71;Legacy scalar has no row-level source and is not a reviewed release event.
190;2025-11-28;yes;;Hop's Snorlax;xm2a;136;—;V2;mirror holo, Poké Ball pattern;MEGA Dream ex: Additionals;Fixed;;mirror-holo;confirmed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V2-xm2a136;xm2a-136-v2-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Japanese, Korean, T-Chinese, Indonesian, Thai;sha256:c8ee052e21d43fd07b2d67344b66238a637c432d9dacb422058f2d9fe627a072;Legacy scalar has no row-level source and is not a reviewed release event.
191;2025-12-19;yes;https://bulbapedia.bulbagarden.net/wiki/Start_Deck_100_Battle_Collection_%28TCG%29;Snorlax;mC;567;—;base;;MEGA Start Deck 100 Battle Collection;Fixed;;non-holo;confirmed, pending;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Start-Deck-100-Battle-Collection/Snorlax-mC567;mc-567-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;explicitly-split;needs-evidence;newly-sourced;EVENT:d0be774fef24afd3;Japanese;Korean, T-Chinese;sha256:ff59a84c34f012286d2bfc54b6806750d45db42b84a7bba6c4f58dd7232d0251;The scalar is not copied onto languages outside the source event scope.
