#;Release;Date exact;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL
106;2022-05-13;yes;Snorlax;s10a;058;—;V1;;Dark Phantasma;Rare;0313;non-holo, reverse-holo;confirmed, marketplace-claimed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dark-Phantasma/Snorlax-V1-s10a058
107;2022-05-13;yes;Snorlax;s10a;077;—;V2;;Dark Phantasma;Character Rare;Kouki Saitou;;pending;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dark-Phantasma/Snorlax-V2-s10a077
108;2022-06-17;yes;Snorlax;s10b;056;—;base;;Pokémon GO Enhanced Expansion Pack;Rare;N-DESIGN Inc.;non-holo;confirmed, marketplace-claimed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-GO-Enhanced-Expansion-Pack/Snorlax-s10b056
109;2022-07-01;yes;Snorlax;PGO;055;—;V1;;Pokémon GO;Holo Rare;N-DESIGN Inc.;holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-GO/Snorlax-V1-PGO055
110;2022-07-01;yes;Snorlax;PGO;055;—;V2;;Pokémon GO;Promo;N-DESIGN Inc.;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-GO/Snorlax-V2-PGO055
111;2022-09-09;yes;Snorlax;LOR;143;—;V1;;Lost Origin;Holo Rare;0313;holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Snorlax-V1-LOR143
112;2022-09-09;yes;Snorlax;LOR;TG10;—;base;;Lost Origin;Illustration Rare;Kouki Saitou;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Snorlax-LORTG10
113;2022-11-09;yes;Snorlax;PPS1 VIV;VIV 131;—;V1;;Play! Pokémon Prize Pack Series One;Prize Pack Series;Atsuko Nishida;non-holo;confirmed, pending;5;X;X;X;X;X;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-One/Snorlax-V1-PPS1VIV-131
114;2022-11-09;yes;Snorlax;PPS1 VIV;VIV 131;—;V2;;Play! Pokémon Prize Pack Series One;Prize Pack Series;Atsuko Nishida;holo;confirmed, pending;5;X;X;X;X;X;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-One/Snorlax-V2-PPS1VIV-131
115;~2023;approx;Snorlax V;CSAC;009;—;base;;Dynamax Clash Deck Building Box;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dynamax-Clash-Deck-Building-Box/Snorlax-V-CSAC009
